"id","num_awards","prog","math","followup"
45,0,"Vocational",41,1
108,0,"General",41,1
15,0,"Vocational",44,2
67,0,"Vocational",42,2
153,0,"Vocational",40,2
51,0,"General",42,1
164,0,"Vocational",46,1
133,0,"Vocational",40,1
2,0,"Vocational",33,1
53,0,"Vocational",46,2
1,0,"Vocational",40,1
128,0,"Academic",38,2
16,0,"Vocational",44,1
106,0,"Vocational",37,1
89,0,"Vocational",40,1
134,0,"General",39,2
19,0,"General",43,2
145,0,"Vocational",38,1
11,0,"Academic",45,2
117,0,"Vocational",39,1
109,0,"General",42,1
12,0,"Vocational",45,2
37,0,"Vocational",40,1
69,0,"Vocational",40,2
43,0,"Academic",43,2
196,0,"Academic",49,2
36,2,"General",44,2
155,2,"General",46,2
6,0,"Academic",46,2
4,1,"Academic",41,1
25,0,"General",42,2
107,0,"Vocational",47,2
5,1,"Academic",43,1
47,0,"Academic",49,1
140,1,"Vocational",40,1
22,1,"Vocational",39,1
18,0,"Vocational",49,2
30,0,"Academic",42,1
40,0,"General",43,2
176,0,"Academic",41,1
126,0,"General",57,2
197,0,"Academic",50,2
46,0,"Academic",44,1
49,0,"Vocational",39,2
8,0,"Academic",52,2
124,1,"Vocational",41,1
13,0,"Vocational",39,2
111,0,"General",39,1
142,0,"Vocational",52,2
193,1,"Academic",48,1
105,0,"Academic",45,1
58,0,"Vocational",40,1
129,0,"General",46,2
38,6,"Academic",50,2
182,0,"Academic",43,2
115,0,"General",43,2
14,2,"Academic",54,2
175,1,"General",42,1
44,0,"Vocational",45,1
86,0,"General",54,2
72,0,"Vocational",47,2
41,2,"Academic",45,2
191,0,"Academic",43,2
138,2,"Vocational",40,2
9,0,"Vocational",52,2
151,1,"Vocational",52,1
119,0,"General",45,2
55,0,"Academic",49,1
73,2,"Academic",53,2
28,0,"General",54,2
90,4,"Academic",50,2
17,0,"Academic",48,2
102,0,"Academic",51,2
70,0,"General",41,1
148,2,"Vocational",51,2
54,0,"General",46,2
42,0,"Vocational",55,2
87,0,"General",46,2
21,0,"General",61,1
181,0,"Academic",45,2
165,0,"Vocational",54,2
78,0,"Academic",54,1
76,2,"Academic",51,2
29,0,"General",49,1
91,0,"Vocational",56,2
52,0,"Academic",53,1
10,1,"General",49,1
85,0,"General",57,2
50,0,"General",42,1
56,0,"Vocational",46,1
64,0,"Vocational",45,2
130,0,"General",55,2
141,0,"Vocational",47,1
74,0,"Academic",50,1
83,0,"Vocational",41,1
31,0,"General",52,1
172,1,"Academic",57,1
184,0,"Vocational",53,1
75,1,"Vocational",51,1
187,0,"General",57,1
113,0,"Academic",51,1
162,0,"Vocational",40,2
110,0,"Vocational",50,2
150,0,"Vocational",57,2
167,0,"General",35,1
77,0,"Academic",49,1
35,0,"General",50,2
158,2,"General",55,2
112,0,"Academic",48,1
48,0,"Academic",52,1
147,2,"Academic",53,2
7,2,"Academic",59,2
65,2,"Academic",66,1
168,0,"Academic",57,2
190,2,"Academic",54,2
178,0,"Vocational",57,1
159,1,"Academic",54,1
120,0,"Academic",54,1
116,0,"Academic",54,2
79,2,"Academic",49,1
98,2,"Vocational",51,2
122,6,"Academic",58,2
179,2,"Academic",60,2
198,0,"Academic",51,2
189,0,"Academic",63,1
199,1,"Academic",50,1
156,1,"Academic",53,1
166,0,"Academic",53,1
160,0,"Academic",55,2
152,1,"Academic",56,1
183,0,"Academic",49,1
94,1,"Academic",61,1
149,0,"General",49,2
131,0,"Academic",57,1
24,0,"Academic",66,2
99,0,"General",56,1
171,6,"Academic",60,2
104,2,"Academic",57,2
81,0,"Academic",59,1
97,0,"Academic",58,2
20,0,"Academic",57,1
163,3,"Academic",64,1
195,0,"General",60,2
84,0,"General",54,2
27,1,"Academic",61,1
118,2,"General",58,2
71,0,"General",56,1
63,0,"General",60,1
185,0,"Academic",55,2
127,6,"Academic",57,2
177,0,"Academic",62,2
188,0,"Academic",56,2
60,0,"Academic",51,1
66,4,"Vocational",56,2
173,0,"General",61,1
186,2,"Academic",63,2
96,5,"Academic",61,1
101,0,"Academic",67,2
3,0,"Academic",48,2
170,1,"Academic",61,1
92,0,"General",57,1
62,0,"General",48,2
135,2,"Academic",65,1
26,4,"Academic",62,1
139,1,"Academic",61,1
121,0,"Vocational",53,1
144,1,"General",58,1
146,2,"Academic",64,2
137,6,"Academic",65,2
123,1,"General",56,1
169,1,"General",63,1
34,3,"Academic",57,1
33,2,"Academic",72,1
32,0,"Vocational",66,1
114,0,"Academic",62,2
125,2,"Academic",58,2
59,1,"Academic",63,1
23,3,"Academic",64,1
161,2,"Academic",72,1
103,0,"Academic",64,2
194,12,"Academic",69,2
136,8,"Academic",70,2
154,1,"Academic",66,1
157,0,"General",58,2
93,2,"Academic",62,1
39,4,"Academic",67,2
88,2,"Academic",64,2
192,2,"Academic",63,1
80,1,"Academic",68,1
200,2,"Academic",75,2
180,0,"Academic",69,2
82,2,"Academic",65,2
174,2,"Academic",71,1
95,10,"Academic",71,2
61,1,"Academic",60,1
100,2,"Academic",71,1
143,2,"Vocational",75,1
68,2,"Academic",71,2
57,0,"Academic",72,1
132,3,"Academic",73,1
