"","dur","res","educ","n","y"
"1","0-4","Suva","none",8,4
"2","0-4","Suva","lower",21,24
"3","0-4","Suva","upper",42,38
"4","0-4","Suva","sec+",51,37
"5","0-4","urban","none",12,14
"6","0-4","urban","lower",27,23
"7","0-4","urban","upper",39,41
"8","0-4","urban","sec+",51,35
"9","0-4","rural","none",62,60
"10","0-4","rural","lower",102,98
"11","0-4","rural","upper",107,104
"12","0-4","rural","sec+",47,35
"13","5-9","Suva","none",10,31
"14","5-9","Suva","lower",30,80
"15","5-9","Suva","upper",24,49
"16","5-9","Suva","sec+",22,38
"17","5-9","urban","none",13,59
"18","5-9","urban","lower",37,98
"19","5-9","urban","upper",44,118
"20","5-9","urban","sec+",21,48
"21","5-9","rural","none",70,171
"22","5-9","rural","lower",117,317
"23","5-9","rural","upper",81,200
"24","5-9","rural","sec+",21,47
"25","10-14","Suva","none",12,49
"26","10-14","Suva","lower",27,99
"27","10-14","Suva","upper",20,58
"28","10-14","Suva","sec+",12,24
"29","10-14","urban","none",18,75
"30","10-14","urban","lower",43,143
"31","10-14","urban","upper",29,105
"32","10-14","urban","sec+",15,50
"33","10-14","rural","none",88,364
"34","10-14","rural","lower",132,546
"35","10-14","rural","upper",50,197
"36","10-14","rural","sec+",9,30
"37","15-19","Suva","none",14,59
"38","15-19","Suva","lower",31,153
"39","15-19","Suva","upper",13,41
"40","15-19","Suva","sec+",4,11
"41","15-19","urban","none",23,108
"42","15-19","urban","lower",42,225
"43","15-19","urban","upper",20,92
"44","15-19","urban","sec+",5,19
"45","15-19","rural","none",114,577
"46","15-19","rural","lower",86,481
"47","15-19","rural","upper",30,135
"48","15-19","rural","sec+",1,2
"49","20-24","Suva","none",21,118
"50","20-24","Suva","lower",18,91
"51","20-24","Suva","upper",12,47
"52","20-24","Suva","sec+",5,13
"53","20-24","urban","none",22,118
"54","20-24","urban","lower",25,147
"55","20-24","urban","upper",13,65
"56","20-24","urban","sec+",3,16
"57","20-24","rural","none",117,756
"58","20-24","rural","lower",68,431
"59","20-24","rural","upper",23,132
"60","20-24","rural","sec+",2,5
"61","25-29","Suva","none",47,310
"62","25-29","Suva","lower",27,182
"63","25-29","Suva","upper",8,43
"64","25-29","Suva","sec+",1,2
"65","25-29","urban","none",46,300
"66","25-29","urban","lower",45,338
"67","25-29","urban","upper",13,98
"68","25-29","rural","none",195,1459
"69","25-29","rural","lower",59,461
"70","25-29","rural","upper",10,58
