cellid,donor_sex_label,region_label,subclass_label,class_label,layer_label
1,M,RSP,Vip,GABAergic,other
2,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
3,F,RSP,L4/5 IT CTX,Glutamatergic,L4/5
4,M,ENT,L2 IT ENTl,Glutamatergic,L2
5,M,RSP,L5 PT CTX,Glutamatergic,L5
6,M,ENT,L2/3 IT PPP,Glutamatergic,L2/3
7,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
8,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
9,M,RSP,L6 CT CTX,Glutamatergic,L6
10,F,ENT,L2/3 IT RHP,Glutamatergic,L2/3
11,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
12,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
13,M,VIS,Sst,GABAergic,other
14,M,VIS,L6 IT CTX,Glutamatergic,L6
15,M,VIS,L6 IT CTX,Glutamatergic,L6
16,M,VIS,L5/6 NP CTX,Glutamatergic,L5/6
17,M,VIS,L6 CT CTX,Glutamatergic,L6
18,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
19,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
20,M,VIS,L5 PT CTX,Glutamatergic,L5
21,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
22,F,ENT,L6b/CT ENT,Glutamatergic,L6
23,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
24,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
25,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
26,M,RSP,Vip,GABAergic,other
27,M,ENT,L3 IT ENT,Glutamatergic,L3
28,M,RSP,L2/3 IT CTX,Glutamatergic,L2/3
29,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
30,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
31,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
32,M,VIS,Lamp5,GABAergic,other
33,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
34,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
35,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
36,M,ENT,L5/6 IT TPE-ENT,Glutamatergic,L5/6
37,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
38,F,ENT,Pvalb,GABAergic,other
39,M,ENT,Vip,GABAergic,other
40,F,VIS,L5 IT CTX,Glutamatergic,L5
41,M,VIS,L6 IT CTX,Glutamatergic,L6
42,M,VIS,L5 IT CTX,Glutamatergic,L5
43,M,VIS,L6 IT CTX,Glutamatergic,L6
44,M,VIS,L6 CT CTX,Glutamatergic,L6
45,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
46,F,ENT,L6b/CT ENT,Glutamatergic,L6
47,M,VIS,L6 CT CTX,Glutamatergic,L6
48,F,ENT,NP PPP,Glutamatergic,other
49,M,ENT,L6b/CT ENT,Glutamatergic,L6
50,M,VIS,L6 CT CTX,Glutamatergic,L6
51,M,VIS,Sst,GABAergic,other
52,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
53,F,VIS,L6 IT CTX,Glutamatergic,L6
54,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
55,M,VIS,Astro,Non-Neuronal,other
56,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
57,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
58,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
59,M,RSP,L5 PT CTX,Glutamatergic,L5
60,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
61,F,VIS,L6 IT CTX,Glutamatergic,L6
